outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
True,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10,5429.4099,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,24,29517.0,0,1,0
False,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,1622.07,1,0,0
False,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,34,13932.99,0,0,1
False,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,132,29627.91,1,0,0
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,124,102334.07,0,1,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,139,106729.59,0,1,0
True,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,90,23789.12,1,0,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,74,54769.87,0,1,0
True,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,19,5574.92,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,22,7814.39,0,0,1
False,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,114,68842.41,0,1,0
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,22,16131.02,0,1,0
True,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,7,9142.6001,0,1,0
True,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,142,160349.48,0,1,0
False,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,7,5103.47,0,1,0
True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,27,12347.44,0,0,1
True,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,5,2641.19,0,0,1
True,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,172,110468.44,0,1,0
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,146,47739.38,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5,501.3,1,0,0
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,59,21560.0,0,0,1
False,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,110,63321.19,0,0,1
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,68,62738.55,0,1,0
False,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,135,71634.84,0,0,1
False,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,11,12000.77,0,1,0
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,29,11570.73,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,7,6851.35,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4,1624.28,0,0,1
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,176,49989.78,1,0,0
False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,14,22676.84,0,1,0
False,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1540,2625469.7,0,1,0
True,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,53,42174.17,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,1793.13,0,0,1
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,163,205315.83,0,1,0
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,70,26979.51,0,0,1
False,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,80,13440.47,1,0,0
True,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,29,24716.25,0,1,0
False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,55,28743.91,0,0,1
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,264,81050.11,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4,3677.03,0,1,0
False,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,18,10478.49,0,0,1
True,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10,10145.51,0,1,0
True,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,33,21550.09,0,1,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,124,50353.4,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,67,19236.59,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,450,155970.02,0,0,1
True,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,242,90428.83,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,61,22057.38,0,0,1
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,131.2,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,162,219687.18,0,1,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,200,117924.39,0,0,1
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,78,53166.46,0,1,0
True,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1026.96,0,0,1
